,R1,R4,R6,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S3,S4,S5,S6,S7,S8,E3,E5,E8,C5,Strength
185,4,3,3,5,2,3,4,3,3,3,3,4,3,2,5,3,5,2,3,-1,3,4,4,3,5,2,2,3,1,5,A
186,4,3,3,3,3,1,3,2,2,2,1,4,4,2,4,2,3,1,1,5,2,5,4,3,1,1,2,4,3,3,S
187,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,4,4,3,A
188,3,4,3,2,4,2,3,2,3,2,2,1,5,3,4,5,4,1,4,5,4,2,5,2,3,2,2,2,4,4,S
189,4,1,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,5,5,5,3,5,5,5,4,3,4,1,4,I
190,1,1,1,5,3,3,1,1,3,3,1,2,1,-1,2,1,1,1,2,2,3,2,2,4,2,3,3,2,2,1,S
191,1,1,2,5,3,3,5,4,2,3,3,5,5,3,5,4,3,5,2,3,5,5,5,5,4,4,3,4,3,1,S
192,4,2,1,2,2,2,2,2,2,1,4,5,5,3,4,4,5,1,3,5,2,3,5,5,4,2,4,5,2,3,A
193,2,2,1,4,4,3,2,3,2,2,2,4,5,4,5,5,4,4,4,5,4,4,5,5,5,4,4,4,4,2,S
194,1,1,1,3,3,1,4,1,1,4,1,1,1,1,4,1,1,3,1,1,4,3,4,4,1,2,1,1,1,1,S
195,4,1,1,5,4,5,5,4,4,3,5,1,2,2,3,2,1,4,1,5,4,5,2,2,3,3,4,2,4,3,I
196,1,3,2,5,4,4,3,3,4,3,5,3,5,4,3,3,3,3,4,4,4,4,4,5,5,5,4,4,3,2,S
197,1,1,1,2,4,3,1,1,3,1,1,1,4,1,4,3,2,3,3,5,3,3,4,3,3,1,1,1,1,1,S
198,2,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,2,2,2,3,3,5,2,2,4,1,4,3,2,4,I
199,1,2,2,4,5,5,4,4,5,4,4,2,5,5,4,4,4,4,4,5,5,3,5,4,5,3,3,3,3,2,I
200,2,1,1,2,3,4,1,2,4,2,2,1,4,3,1,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,A
201,1,1,1,3,4,2,1,1,3,1,4,2,2,4,3,2,5,1,5,5,4,1,5,4,5,4,2,3,2,3,S
202,3,5,5,5,5,5,4,5,3,4,4,4,5,4,1,2,1,2,4,4,3,4,1,4,2,1,5,5,4,1,I
203,3,2,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,4,3,3,2,3,3,I
204,5,4,3,5,5,5,5,5,5,5,3,3,4,5,1,3,5,3,5,3,1,5,3,3,3,3,4,3,3,1,I
205,3,4,2,3,5,4,4,4,4,4,3,5,4,4,5,4,5,3,4,3,2,5,3,4,2,2,2,4,4,4,A
206,1,2,3,2,3,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,3,I
207,4,3,4,5,5,4,4,4,4,3,5,2,1,1,1,2,2,1,1,4,2,4,2,3,4,3,4,4,3,2,I
208,4,1,4,5,4,4,5,5,3,3,3,3,2,3,1,4,4,2,4,4,4,4,5,3,4,3,4,2,4,1,I
209,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,I
210,1,1,1,5,-1,5,2,4,4,4,-1,3,-1,2,3,3,1,-1,1,5,3,3,3,1,2,3,1,2,-1,2,S
211,5,1,1,5,1,1,5,1,1,1,1,3,5,5,5,5,5,5,5,3,5,5,5,1,3,4,1,1,1,1,A
